City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Seattle,MAZDA,CX-5,SUV,Used,Red,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,24 City / 30 Highway,2019,98105,"21,986",32995
Seattle,Volvo,XC40,SUV,Used,Blue,Amber,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 31 Highway,2019,98108,"19,576",42840
Seattle,Land Rover,Range Rover Velar,SUV,Used,White,Ebony/Dapple Gray,Automatic,Gasoline,6-Cylinder Supercharged,4 wheel drive,21 City / 27 Highway,2018,98108,"34,325",52840
Seattle,MAZDA,CX-3,SUV,Certified,Gray,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,27 City / 32 Highway,2019,98033,"17,323",27988
Seattle,BMW,320i,SEDAN,Certified,Black,Black Sensatec,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24 City / 35 Highway,2018,98134,"23,845",29888
Seattle,Toyota,Highlander,SUV,Used,Gray,,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,,2016,98102,"44,652",31000
Seattle,Toyota,Camry,SEDAN,Certified,Gray,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,29 City / 41 Highway,2019,98034,"7,785",28990
Seattle,Subaru,Impreza,HATCH,Used,White,Ivory,Automatic,Gasoline,4-Cylinder,All wheel drive,28 City / 37 Highway,2018,98033,"39,129",20985
Seattle,Toyota,RAV4,SUV,Used,Black,Nutmeg,Automatic,Gasoline,4-Cylinder,All wheel drive,22 City / 28 Highway,2016,98033,"28,138",28999
Seattle,Honda,Accord,SEDAN,Used,Silver,Gray,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 35 Highway,2015,98033,"49,416",18988
Seattle,Honda,Ridgeline,TRUCKS,Used,Off White,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 24 Highway,2020,98033,"11,213",41988
Seattle,Toyota,RAV4,SUV,Certified,Red,Black,Automatic,Gasoline,4-Cylinder,All wheel drive,22 City / 28 Highway,2017,98148,"24,882",26995
Seattle,Toyota,Avalon,SEDAN,Certified,Black,Black/Red,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,22 City / 31 Highway,2020,98148,"11,000",45949
Seattle,BMW,640i Gran Turismo xDrive,HATCH,Certified,Black,Black Dakota Leather,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 28 Highway,2019,98134,"7,634",58995
Seattle,Honda,Civic,SEDAN,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,32 City / 42 Highway,2019,98004,"23,801",24475
Seattle,BMW,X7,SUV,Used,Gray,Ivory White/Night Blue,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 25 Highway,2019,98004,"20,071",74880
Seattle,Toyota,4Runner,SUV,Used,White,Trd Off-Road Softex  In Black,Automatic,Gasoline,6-Cylinder,4 wheel drive,16 City / 19 Highway,2021,98007,"4,428",53999
