City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Charlotte,Jeep,Renegade,SUV,Used,Blue,Ski Gray/Black,Automatic,Gasoline,4-Cylinder,4 wheel drive,21 City / 29 Highway,2018,28227,"21,840",24226
Charlotte,Hyundai,Sonata,SEDAN,Used,Blue,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 36 Highway,2020,28227,"15,063",28226
Charlotte,Honda,CR-V,SUV,Used,Off White,Ivory,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,27 City / 33 Highway,2019,28227,"21,184",32822
Charlotte,Lexus,RC 350,COUPE,Used,White,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2015,28212,"52,014",34990
Charlotte,Mercedes-Benz,Sprinter,VANS,Used,Black,Black,Automatic,Diesel,6-Cylinder Turbo,2 wheel drive - rear,,2017,28212,"32,068",52990
Charlotte,Lexus,NX 300,SUV,Certified,Blue,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,22 City / 28 Highway,2019,28212,"23,289",39397
Charlotte,Audi,SQ5,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,19 City / 24 Highway,2018,28212,"23,862",48997
Charlotte,Lexus,IS 350,SEDAN,Certified,White,White W/Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,20 City / 28 Highway,2021,28212,"6,440",52497
Charlotte,Lexus,RC F,COUPE,Used,Gray,Circuit Red,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,16 City / 25 Highway,2015,28212,"37,317",52497
Charlotte,Lexus,RC 300,COUPE,Certified,Black,White,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,21 City / 31 Highway,2021,28212,395,52497
Charlotte,Lexus,ES 300h,SEDAN,Certified,White,Chateau,Automatic,Hybrid Gas/Electric,Gas / Electric Hybrid,2 wheel drive - front,43 City / 44 Highway,2021,28212,"8,999",55997
Charlotte,Lexus,RX 350,SUV,Certified,Black,Black/Birch,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 27 Highway,2022,28212,"1,400",57597
Charlotte,Lexus,RX 350,SUV,Certified,Blue,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2021,28212,"3,150",57997
Charlotte,Lexus,RX 350,SUV,Certified,Gray,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2022,28212,"3,100",59597
Charlotte,Lexus,GX 460,SUV,Certified,Black,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 19 Highway,2020,28212,"7,562",60497
Charlotte,Lexus,GX 460,SUV,Certified,Black,Sepia,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 19 Highway,2021,28212,"6,245",61997
Charlotte,Toyota,4Runner,SUV,Used,Green,Black/Graphite,Automatic,Gasoline,6-Cylinder,4 wheel drive,16 City / 19 Highway,2022,28212,5,66294
Charlotte,Lexus,IS 200t,SEDAN,Used,Blue,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,22 City / 32 Highway,2016,28214,"45,124",28500
Charlotte,Nissan,Rogue,SUV,Used,Silver,Charcoal,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 33 Highway,2018,28212,"25,026",28900
Charlotte,INFINITI,Q50,SEDAN,Used,White,Graphite,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 27 Highway,2015,28227,"36,029",25905
Charlotte,Honda,CR-V,SUV,Used,Silver,Gray,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,27 City / 33 Highway,2019,28227,"20,123",32707
Charlotte,Acura,RDX,SUV,Used,Black,Ebony,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 26 Highway,2019,28227,"7,868",42928
Charlotte,Acura,RDX,SUV,Used,Gray,Graystone,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 26 Highway,2019,28227,"28,119",43851
Charlotte,Acura,MDX,SUV,Used,Off White,Parchment,Automatic,Gasoline,6-Cylinder,All wheel drive,,2020,28227,"13,056",43865
Charlotte,Acura,RDX,SUV,Certified,Silver,Ebony,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 26 Highway,2019,28227,"13,450",44926
Charlotte,BMW,X5,SUV,Used,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,21 City / 25 Highway,2021,28227,"4,832",69808
Charlotte,BMW,435i,CONVERT,Used,White,Venetian Beige,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,20 City / 30 Highway,2015,28227,"61,156",30491
Charlotte,Hyundai,Kona,SUV,Used,White,Pebble Blue,Single-Speed,Electric,Electric,2 wheel drive - front,,2019,28227,"21,331",30991
Charlotte,BMW,X2,SUV,Certified,White,Oyster/Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 31 Highway,2018,28227,"33,138",33991
Charlotte,Lexus,RX 350,SUV,Used,Silver,Black,Automatic,Gasoline,6-Cylinder,All wheel drive,19 City / 26 Highway,2021,28227,"3,598",55991
Charlotte,BMW,X5,SUV,Certified,Black,Black,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,20 City / 26 Highway,2019,28227,"17,699",61491
Charlotte,BMW,Z4,CONVERT,Used,Silver,Cognac W/Contrast Stitch,Automatic,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,22 City / 30 Highway,2021,28227,"1,437",68991
Charlotte,BMW,X6,SUV,Certified,Gray,Cognac/Black,Automatic,Gasoline,8-Cylinder Turbo,All wheel drive,17 City / 22 Highway,2019,28227,"21,889",69991
Charlotte,Nissan,Pathfinder,SUV,Used,Gray,Charcoal,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 27 Highway,2018,28212,"37,162",26399
Charlotte,Chevrolet,TrailBlazer,SUV,Used,Blue,Jet Black,Automatic,Gasoline,3-Cylinder Turbo,2 wheel drive - front,28 City / 31 Highway,2021,28212,"9,834",26899
Charlotte,Chevrolet,Colorado,TRUCKS,Used,Silver,Jet Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - rear,18 City / 25 Highway,2017,28212,"39,447",28399
Charlotte,MAZDA,CX-5,SUV,Used,White,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,25 City / 31 Highway,2020,28212,"19,253",28399
Charlotte,Lincoln,MKC,SUV,Used,Burgundy,Cappuccino,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,20 City / 27 Highway,2019,28212,"27,799",30399
Charlotte,Acura,RDX,SUV,Used,Gray,Graystone,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 28 Highway,2017,28212,"19,925",31991
Charlotte,Ford,F150,TRUCKS,Used,Blue,Black,Automatic,Flexible Fuel,8-Cylinder,2 wheel drive - rear,15 City / 22 Highway,2016,28212,"54,897",33991
Charlotte,Dodge,Challenger,COUPE,Used,Red,Black,Manual,Gasoline,8-Cylinder,2 wheel drive - rear,14 City / 23 Highway,2019,28212,"28,255",41399
Charlotte,Chevrolet,Sonic,HATCH,Used,White,Jet Black/Dark Titanium,Manual,Gasoline,4-Cylinder,2 wheel drive - front,26 City / 34 Highway,2013,28262,"81,230",7411
Charlotte,Chevrolet,Silverado 1500,TRUCKS,Certified,White,Black,Automatic,Gasoline,4-Cylinder Turbo,4 wheel drive,19 City / 22 Highway,2021,28262,"3,673",43196
Charlotte,GMC,Terrain,SUV,Certified,White,Jet Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,26 City / 30 Highway,2019,28078,"19,934",29988
Charlotte,Volvo,S60,SEDAN,Used,Black,Charcoal,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 36 Highway,2019,28212,"24,500",32902
Charlotte,BMW,530i,SEDAN,Used,Black,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24 City / 34 Highway,2018,28212,"33,843",37651
Charlotte,Toyota,Tundra,TRUCKS,Used,Red,Graphite,Automatic,Gasoline,8-Cylinder,4 wheel drive,13 City / 17 Highway,2021,28212,10,47843
Charlotte,Audi,A4,SEDAN,Used,White,Atlas Beige/Gray,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,24 City / 34 Highway,2018,28273,"38,155",35753
Charlotte,Lexus,ES 350,SEDAN,Used,Silver,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,21 City / 30 Highway,2014,28227,"73,800",22782
